,Gene.1,log2fc,pvals_stud,p-values-corr,log10_p,log10_p-corr,marker_symbol,entrez,path,significant
11651,Gtf2f2,-0.12038841463414762,0.0001311551259911595,0.0005682087650827316,3.8822147310273394,3.245492071215505,Gtf2f2,68705,path:mmu03022,False
11652,Gtf2h1,0.04840792682926676,0.1787448864325463,0.26617299292468444,0.7477663737276881,0.5748360120424135,Gtf2h1,14884,path:mmu03022,False
11655,Gtf2h2,0.014537804878049343,0.7073508930690227,0.7807606283571992,0.1503650938136405,0.1074820950830782,Gtf2h2,23894,path:mmu03022,False
11658,Gtf2h3,-0.01610548780486987,0.5341102723712476,0.6319138580825381,0.2723690693043173,0.1993421203081407,Gtf2h3,209357,path:mmu03022,False
11661,Gtf2h4,0.004314634146341589,0.8876676047331966,0.920377138009846,0.051749629328146265,0.036034177660373055,Gtf2h4,14885,path:mmu03022,False
11664,Gtf2h5,-0.15943353658536452,5.991832844058867e-05,0.0002861585086396005,4.222440310781795,3.5433933362476804,Gtf2h5,66467,path:mmu03022,False
11666,Gtf2i,0.004187195121952314,0.8314787095431043,0.8777054688360495,0.0801488666444915,0.05665119561866356,Gtf2i,14886,path:mmu03022,False
11668,Gtf2ird1,0.10386158536585376,0.0014824132031705198,0.0046707781084023535,2.8290307256113363,2.330610763965784,Gtf2ird1,57080,path:mmu03022,False
11670,Gtpbp4,0.20220243902439167,3.984620614968711e-05,0.00019973413941194168,4.399613022491001,3.6995476973173793,Gtpbp4,69237,path:mmu03008,False
11671,Gtse1,-0.14881707317072834,1.507896969092005e-06,1.1237177583660043e-05,5.821628331731137,4.949342755827886,Gtse1,29870,path:mmu04115,False
11672,Guca1a,-0.06806890243902508,0.09214873568238048,0.1545457073368862,1.0355106190985413,0.8109430534010249,Guca1a,14913,path:mmu04744,False
11673,Guca1b,0.2622420731707331,2.62038136554842e-11,6.538974527628543e-10,10.581635497649604,9.184490354414557,Guca1b,107477,path:mmu04744,False
11674,Gucy1a2,0.3957810975609757,1.1263218990930005e-11,3.0287239737309937e-10,10.94833747181072,9.518740304794537,Gucy1a2,234889,path:mmu00230,False
11684,Gucy1b2,0.02789329268292562,0.34996979971405184,0.4547010230429723,0.4559694310309556,0.3422740686639971,Gucy1b2,239134,path:mmu00230,False
11694,Gucy2c,-0.3281073170731714,1.0416809808118778e-05,6.144004380342342e-05,4.982265265188465,4.211548483347992,Gucy2c,14917,path:mmu00230,False
11695,Gucy2d,0.04562439024390219,0.32495950342104285,0.4296911982800503,0.4881707575953052,0.3668435422377986,Gucy2d,14918,path:mmu00230,False
11698,Gucy2e,0.06265060975609593,0.06208058345316564,0.11167651505189254,1.2070442100923364,0.952038146989426,Gucy2e,14919,path:mmu00230,False
11701,Gucy2f,0.1898457317073152,1.9380678325216075e-07,1.8273537646438395e-06,6.712631026679327,5.738177367721324,Gucy2f,245650,path:mmu00230,False
11703,Gucy2g,0.0362957317073187,0.2521993220950489,0.3499918773322354,0.5982560851331801,0.4559420347089331,Gucy2g,73707,path:mmu00230,False
11704,Guk1,0.10881402439024512,0.08848587483669182,0.14933598499798664,1.0531260509980378,0.8258355291605637,Guk1,14923,path:mmu00230,False
11706,Gulo,-0.26279451219511785,1.2732049771477305e-07,1.260790506849011e-06,6.895101672325955,5.899357069872456,Gulo,268756,path:mmu00053,False
11708,Gusb,0.15859451219512088,0.00031821290061887327,0.0012282444201896939,3.4972822176686336,2.9107152001516834,Gusb,110006,path:mmu00040,False
11714,Gyg,-0.49739146341463497,3.905324673959802e-12,1.1713291793394542e-10,11.408342854680992,9.931321037736668,Gyg,27357,path:mmu00500,False
11716,Gypa,-0.030551829268290483,0.5008174583623076,0.6016698323708933,0.3003205401445571,0.22064176341827368,Gypa,14934,path:mmu04640,False
11718,Gypc,-0.016408536585366562,0.7628213499706247,0.8250955652949219,0.11757716034984647,0.08349574711478022,Gypc,71683,path:mmu05144,False
11719,Gys1,0.08236097560975608,0.002655170647139181,0.007742474770337075,2.575907561690121,2.1111202011628114,Gys1,14936,path:mmu00500,False
11726,Gys2,-0.008134146341465255,0.8653263308082157,0.9038653096630976,0.06282008104085661,0.04389628150276692,Gys2,232493,path:mmu00500,False
11733,Gzma,0.09474329268293058,0.01193188812244484,0.027993206957514026,1.9232908273878029,1.5529473450433022,Gzma,14938,path:mmu04080,False
11734,Gzmb,-0.2910859756097537,1.9205869657000112e-10,3.882964481116643e-09,9.716566022855213,8.410836582084803,Gzmb,14939,path:mmu04210,False
11741,H2-Aa,-0.11848231707316792,0.34401410564335433,0.4487185183227385,0.463423749645103,0.3480260070449853,H2-Aa,14960,path:mmu04145,False
